formation,play_name,p_type,personnel,protection,one_word_call,f_type,f_dir,p_dir,notes
Shotgun,Slant/Curl,Pass,11,5-man,Flood,Spread,Right,Right,Quick passing concept
Shotgun,Four Verticals,Pass,10,Max Protect,Verts,Spread,Middle,Middle,Deep passing attack
Shotgun,Stick/Wheel,Pass,11,5-man,Stick,Spread,Right,Right,Stick with wheel route
Shotgun,Mesh Concept,Pass,11,5-man,Mesh,Spread,Middle,Middle,Crossing routes
Shotgun,Bubble Screen,Pass,11,Quick,Bubble,Spread,Right,Right,Quick screen
Shotgun,Shallow Cross,Pass,11,5-man,Shallow,Spread,Left,Left,Shallow cross concept
Shotgun,Spacing,Pass,10,Max,Space,Spread,Middle,Middle,Spacing concept
Shotgun,Smash Route,Pass,11,5-man,Smash,Spread,Right,Right,Corner/flat combo
Shotgun,All Curl,Pass,11,5-man,Curl,Spread,Middle,Middle,All receivers curl
Shotgun,Y-Cross,Pass,11,5-man,Cross,Spread,Middle,Middle,Y-receiver crossing
I-Form,Power Right,Run,21,N/A,Power,Heavy,Right,Right,Traditional power run
I-Form,Counter Left,Run,21,N/A,Counter,Heavy,Left,Left,Counter with pulling guards
I-Form,Iso,Run,21,N/A,Iso,Heavy,Middle,Middle,Isolation run
I-Form,Sweep Right,Run,21,N/A,Sweep,Heavy,Right,Right,Outside sweep
I-Form,Dive,Run,21,N/A,Dive,Heavy,Middle,Middle,Quick dive
I-Form,Toss,Run,21,N/A,Toss,Heavy,Left,Left,Toss sweep
I-Form,Trap,Run,21,N/A,Trap,Heavy,Middle,Middle,Trap blocking scheme
I-Form,Lead,Run,21,N/A,Lead,Heavy,Right,Right,Lead blocking
I-Form,Stretch,Run,21,N/A,Stretch,Heavy,Left,Left,Stretch run
I-Form,Blast,Run,21,N/A,Blast,Heavy,Right,Right,Quick blast play
Pistol,Read Option,RPO,11,N/A,Triple,Balanced,Left,Left,RPO with read key
Pistol,Stick/Draw,RPO,11,N/A,Stick,Balanced,Right,Right,Stick with draw option
Pistol,Bubble/Zone,RPO,11,N/A,Bubble,Balanced,Right,Right,Bubble screen with zone
Pistol,Slant/Zone,RPO,11,N/A,Slant,Balanced,Left,Left,Slant with inside zone
Pistol,Glance/Power,RPO,11,N/A,Glance,Balanced,Right,Right,Glance with power run
Pistol,Speed Option,RPO,11,N/A,Speed,Balanced,Right,Right,Speed option read
Pistol,Inside Zone,Run,11,N/A,Zone,Balanced,Middle,Middle,Inside zone run
Pistol,QB Draw,Run,11,N/A,Draw,Balanced,Middle,Middle,QB draw play
Pistol,Belly,Run,11,N/A,Belly,Balanced,Right,Right,Belly run concept
Pistol,Arc,RPO,11,N/A,Arc,Balanced,Left,Left,Arc release concept
Ace,Inside Zone,Run,12,N/A,Zone,Balanced,Middle,Middle,Inside zone from ace
Ace,Outside Zone,Run,12,N/A,Zone,Balanced,Right,Right,Outside zone stretch
Ace,Power,Run,12,N/A,Power,Balanced,Right,Right,Power run from ace
Ace,Counter,Run,12,N/A,Counter,Balanced,Left,Left,Counter from ace
Ace,Dive,Run,12,N/A,Dive,Balanced,Middle,Middle,Quick dive
Ace,Sweep,Run,12,N/A,Sweep,Balanced,Right,Right,Sweep from ace
Ace,Split Zone,Run,12,N/A,Split,Balanced,Right,Right,Split zone blocking
Ace,Wham,Run,12,N/A,Wham,Balanced,Middle,Middle,Wham blocking scheme
Ace,Pin/Pull,Run,12,N/A,Pin,Balanced,Left,Left,Pin and pull blocking
Ace,Lead Iso,Run,12,N/A,Lead,Balanced,Right,Right,Lead isolation
Empty,Four Verts,Pass,10,Max Protect,Verts,Empty,Middle,Middle,Four verticals from empty
Empty,Mesh,Pass,10,Max Protect,Mesh,Empty,Middle,Middle,Mesh concept
Empty,All Go,Pass,10,Max Protect,Go,Empty,Middle,Middle,All receivers vertical
Empty,Switch,Pass,10,Max Protect,Switch,Empty,Right,Right,Switch release concept
Empty,Spacing,Pass,10,Max Protect,Space,Empty,Middle,Middle,Spacing from empty
Empty,Levels,Pass,10,Max Protect,Levels,Empty,Right,Right,Three level concept
Empty,Flood,Pass,10,Max Protect,Flood,Empty,Right,Right,Flood concept
Empty,Smash,Pass,10,Max Protect,Smash,Empty,Right,Right,Smash route combo
Empty,Curl Flat,Pass,10,Max Protect,Curl,Empty,Left,Left,Curl/flat combination
Empty,Corner Post,Pass,10,Max Protect,Post,Empty,Middle,Middle,Corner/post combo
Trips Right,Flood,Pass,11,5-man,Flood,Spread,Right,Right,Flood to trips side
