personnel,formation,f_dir,ftag1,ftag2,fTag3,back_align,shift,motion,protection,play_name,p_tag1,p_tag2,play_dir,one_word_play,backRoute,check_into,keyPlayer1,keyPlayer2,hAlign,zAlign,p_Type,formType,passStr,runStr,prefHash,prefDown,prefDis,prefFieldPos,prefDFront,prefDCov,PrefDBlitz,prefSituation,confidence_base,success_rate,times_called,times_successful,,diagram_url,video_url,tags,created_by,created_at,updated_at,is_archived,last_used_at,complexity_score,search_vector
Regular,Empty,Left,,,,eFar,Hag,,Half Chip,Sooners,,,Rt,,Snag,,Z,T,Left,Right,Drop,Empty,Right,Right,Left,,,,,,,,70,,,,,,,,,,,,,,
Regular,Doubles,Right,,,,Near,,,Half,Trail,,,Rt,,Rail,,T,Z,Right,Left,Drop,Tight Bunch,,,,,,,,,,,70,,,,,,,,,,,,,,
Regular,Empty,Left,,,,eFar,Happy,,Half,Florida,,,Rt,,,,Z,R,Left,Right,Drop,Empty,Right,,,,,,,,,,70,,,,,,,,,,,,,,
Regular,Deuce,Left,,,,Far,,,Half,Sooners,,,Rt,,Tub,,R,Z,Left,Right,Drop,Twins,,,,,,,,,,,70,,,,,,,,,,,,,,
Regular,Trio,Right,,,,Far,,,Half,Traffic,,,Rt,,Traffic,,T,L,Right,Right,Drop,Tight Bunch,,,,,,,,,,,70,,,,,/assets/playDiagrams/traffic.png,,,,,,,,,
Regular,Trio,Left,,,,Far,,,Half,H Irish,,,Lt,,,,H,Z,Left,Left,Drop,Tight Bunch,,,,,,,,,,,70,,,,,,,,,,,,,,
Regular,Empty,Left,,,,eFar,,,Half,R Chop,,,Rt,,Fin,,R,T,Left,Right,Drop,Empty,,,,,,,,,,,70,,,,,,,,,,,,,,
Regular,Dice,Left,,,,Near,,,Half,Saber,,,,,,,L,R,Left,Right,Quick,Wide Stack,Left,Left,Middle,1,Long,Green,,,,,70,,,,,,,,,,,,,,
Regular,River,Right,Flex,Stack,,Near,,Hot,Half,Squid,Quick,,Rt,,,,Z,L,Right,Right,Quick,Wide Stack,Right,Right,Right,,,,,,,,70,,,,,,,,,,,,,,
Regular,West,Left,,,,Far,,,Half,Chat,,,Lt,Chat,Tub,,L,R,Left,Left,Quick,Trips,,,,,,,,,,,70,,,,,,,,,,,,,,
Regular,Empty,Left,,,,eFar,Hag,,Half,Halo,,,Rt,,Hitch,,Z,L,Left,Right,Quick,Empty,,,,,,,,,,,70,,,,,,,,,,,,,,
Regular,Transport,Right,,,,Near,,,Half,Squid,,,Rt,,,,Z,L,Right,Right,Quick,Wide Bunch,,,,,,,,,,,70,,,,,,,,,,,,,,
Regular,Deuce,Left,Flex,,,Far,,,,Blast,Hawaii,,Rt,Honolulu,,,T,Z,Left,Right,RPO,Twins,Right,Left,Left,,,,,,,,70,,,,,/assets/playDiagrams/honolulu.png,,,,,,,,,
Regular,Twins,Right,Stack,,,Near,,,,IZ,Squid,,Lt,Alpha,,,T,R,Right,Left,RPO,Wide Stack,Right,Right,Right,2,Medium,,,,,,70,,,,,,,,,,,,,,
Regular,Doubles,Left,,,,Far,,,,OZ,Wazzu,,Lt,Seattle,,,T,Z,Left,Right,RPO,Tight Bunch,Right,Left,Left,,,,,,,,70,,,,,,,,,,,,,,
Regular,Lake,Left,Next,,,Far,,,,IZ,Gas,,Lt,Lima,,,T,L,Left,Left,RPO,Trips,Left,Left,Right,3,Short,Fringe,,,,,70,,,,,,,,,,,,,,
Regular,Ace,Left,,,,Far,,,,Base,Lucy,,Rt,Echo,,,L,T,Left,Right,RPO,Twins,,,,,,,,,,,70,,,,,/assets/playDiagrams/echo.png,,,,,,,,,
Regular,Doubles,Right,,,,Far,,,,OZ,Wazzu,,Rt,Sonics,,,T,Z,Right,Left,RPO,Tight Bunch,,,,,,,,,,,70,,,,,,,,,,,,,,
Regular,Hard,Left,,,,Near,Hag,Tear,,QB Base,,,Lt,,Tub,,Q,T,Left,Right,RPO,Twins,,,,,,,,,,,70,,,,,,,,,,,,,,
